round,ticker,daily,m1,m5,error
0,BINA.JK,skip(empty),(ok),(ok),
0,DYAN.JK,skip(empty),(ok),(ok),
0,BUAH.JK,skip(empty),(ok),(ok),
0,FPNI.JK,skip(empty),(ok),(ok),
0,CITY.JK,skip(empty),(ok),(ok),
0,GUNA.JK,skip(empty),(ok),(ok),
0,INDX.JK,skip(empty),(ok),(ok),
0,BACA.JK,skip(empty),(ok),(ok),
0,AGRS.JK,skip(empty),(ok),(ok),
0,BNII.JK,skip(empty),(ok),(ok),
0,PEGE.JK,skip(empty),(ok),(ok),
0,ARTA.JK,skip(empty),(ok),(ok),
0,SAPX.JK,skip(empty),(ok),(ok),
0,SULI.JK,skip(empty),(ok),(ok),
0,SMAR.JK,skip(empty),(ok),(ok),
0,KETR.JK,skip(empty),(ok),(ok),
0,KOBX.JK,skip(empty),(ok),(ok),
0,GULA.JK,skip(empty),(ok),(ok),
0,NAYZ.JK,skip(empty),(ok),(ok),
0,JAST.JK,skip(empty),(ok),(ok),
0,HYGN.JK,skip(empty),(ok),(ok),
0,ERTX.JK,skip(empty),(ok),(ok),
0,GTRA.JK,skip(empty),(ok),(ok),
0,COCO.JK,skip(empty),(ok),(ok),
0,PMMP.JK,skip(empty),(ok),(ok),
0,TRUK.JK,skip(empty),(ok),(ok),
0,DWGL.JK,skip(empty),(ok),(ok),
0,INAI.JK,skip(empty),(ok),(ok),
0,JSPT.JK,skip(empty),(ok),(ok),
0,ZONE.JK,skip(empty),(ok),(ok),
0,DLTA.JK,skip(empty),(ok),(ok),
0,HELI.JK,skip(empty),(ok),(ok),
0,SBMA.JK,skip(empty),(ok),(ok),
0,BESS.JK,skip(empty),(ok),(ok),
0,FOLK.JK,skip(empty),(ok),(ok),
0,BPII.JK,skip(empty),(ok),(ok),
0,KMDS.JK,skip(empty),(ok),(ok),
0,PADI.JK,skip(empty),(ok),(ok),
0,AKSI.JK,skip(empty),(ok),(ok),
0,SOUL.JK,skip(empty),(ok),(ok),
0,BINO.JK,skip(empty),(ok),(ok),
0,CHIP.JK,skip(empty),(ok),(ok),
0,AMAR.JK,skip(empty),(ok),(ok),
0,LABS.JK,skip(empty),(ok),(ok),
0,CCSI.JK,skip(empty),(ok),(ok),
0,PPRE.JK,skip(empty),(ok),(ok),
0,PKPK.JK,skip(empty),(ok),(ok),
0,MCOL.JK,skip(empty),(ok),(ok),
0,AXIO.JK,skip(empty),(ok),(ok),
0,KOCI.JK,skip(empty),(ok),(ok),
0,GDST.JK,skip(empty),(ok),(ok),
0,BKSW.JK,skip(empty),(ok),(ok),
0,MCAS.JK,skip(empty),(ok),(ok),
0,DSFI.JK,skip(empty),(ok),(ok),
0,PALM.JK,skip(empty),(ok),(ok),
0,PEVE.JK,skip(empty),(ok),(ok),
0,SAFE.JK,skip(empty),(ok),(ok),
0,LUCK.JK,skip(empty),(ok),(ok),
0,PTSN.JK,skip(empty),(ok),(ok),
0,IRSX.JK,skip(empty),(ok),(ok),
0,LMAX.JK,skip(empty),(ok),(ok),
0,ACST.JK,skip(empty),(ok),(ok),
0,IFII.JK,skip(empty),(ok),(ok),
0,ELPI.JK,skip(empty),(ok),(ok),
0,PSSI.JK,skip(empty),(ok),(ok),
0,LMPI.JK,skip(empty),(ok),(ok),
0,ZYRX.JK,skip(empty),(ok),(ok),
0,CSMI.JK,skip(empty),(ok),(ok),
