round,ticker,daily,m1,m5,m15,error
0,MTMH.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DMAS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CARE.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,ASSA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DOID.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DGWG.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ULTJ.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CNMA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,MLPL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BEEF.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SNLK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ASPR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,NAIK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,KRYA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MIDI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TPMA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MPMX.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DAAZ.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,BIRD.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ASRI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,AALI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MGRO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SPRE.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,MSTI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ERAL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ANJT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DEWI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,KEEN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,BSML.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BDKR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,IPCC.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ABMM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,RALS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,TSPC.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PPRI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,RGAS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PMUI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ALII.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,AGRO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HILL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SMGA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TBLA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TEBE.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,INPC.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BSSR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,JARR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MAIN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TUGU.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,STRK.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
