ticker,gran,price,prob_ara_tomorrow,prob_ara_tomorrow_adj,ara_target_pct,day_roc,prox,rvol60,cr,obv_up,virgin_hint,regime_score
LPCK.JK,1m,505.0,64.1,64.1,25.0,-0.0098,0.0,1.14,1.0,True,False,0.5
SPMA.JK,1m,278.0,64.1,64.1,25.0,0.0072,0.029,1.01,1.0,True,False,0.5
KEEN.JK,1m,795.0,63.9,63.9,25.0,0.0,0.0,1.11,1.0,True,False,0.5
CLAY.JK,1m,1305.0,63.8,63.8,25.0,0.0038,0.015,1.02,1.0,True,False,0.5
BSBK.JK,1m,53.0,63.8,63.8,35.0,0.0392,0.112,3.54,1.0,False,False,0.5
SMRA.JK,1m,458.0,63.7,63.7,25.0,0.0269,0.108,3.02,1.0,False,False,0.5
SCCO.JK,1m,2290.0,63.5,63.5,25.0,0.0133,0.053,0.83,1.0,True,False,0.5
PSDN.JK,1m,86.0,63.5,63.5,35.0,0.0361,0.103,9.26,1.0,False,False,0.5
ASII.JK,1m,5175.0,63.4,63.4,20.0,0.0197,0.099,3.75,1.0,False,False,0.5
CMRY.JK,1m,4920.0,63.4,63.4,25.0,-0.012,0.0,1.05,1.0,True,False,0.5
ZYRX.JK,1m,162.0,63.4,63.4,35.0,-0.0357,0.0,1.04,1.0,True,False,0.5
GRIA.JK,1m,93.0,63.4,63.4,35.0,-0.0106,0.0,1.05,1.0,True,False,0.5
MLBI.JK,1m,6100.0,63.3,63.3,20.0,0.0,0.0,1.03,1.0,True,False,0.5
ARKO.JK,1m,1155.0,63.3,63.3,25.0,0.0221,0.088,0.64,1.0,True,False,0.5
SILO.JK,1m,2160.0,63.2,63.2,25.0,0.0237,0.095,4.93,1.0,False,False,0.5
CASA.JK,1m,1100.0,63.2,63.2,25.0,0.0092,0.037,0.86,1.0,True,False,0.5
TAPG.JK,1m,1490.0,63.0,63.0,25.0,0.0171,0.068,0.69,1.0,True,False,0.5
BTPS.JK,1m,1505.0,62.9,62.9,25.0,-0.0131,0.0,0.98,1.0,True,False,0.5
GJTL.JK,1m,1050.0,62.9,62.9,25.0,0.0048,0.019,0.9,1.0,True,False,0.5
CNMA.JK,1m,141.0,62.9,62.9,35.0,0.0144,0.041,0.8,1.0,True,False,0.5
PBID.JK,1m,484.0,62.8,62.8,25.0,0.0041,0.017,0.89,1.0,True,False,0.5
PTPP.JK,1m,410.0,62.8,62.8,25.0,-0.0049,0.0,0.97,1.0,True,False,0.5
SOCI.JK,1m,179.0,62.6,62.6,35.0,-0.011,0.0,0.95,1.0,True,False,0.5
BPFI.JK,1m,336.0,62.5,62.5,25.0,0.0182,0.073,11.44,1.0,False,False,0.5
BAJA.JK,1m,129.0,62.5,62.5,35.0,0.0,0.0,0.93,1.0,True,False,0.5
NICL.JK,1m,1015.0,62.4,62.4,25.0,0.005,0.02,0.83,1.0,True,False,0.5
WEHA.JK,1m,117.0,62.4,62.4,35.0,0.0174,0.05,0.7,1.0,True,False,0.5
SMMA.JK,1m,16925.0,62.3,62.3,20.0,0.012,0.06,0.64,1.0,True,False,0.5
HRUM.JK,1m,885.0,62.3,62.3,25.0,0.0231,0.092,2.9,1.0,False,False,0.5
ENRG.JK,1m,550.0,62.3,62.3,25.0,-0.0179,0.0,0.91,1.0,True,False,0.5
CAMP.JK,1m,210.0,62.3,62.3,25.0,0.0096,0.038,0.73,1.0,True,False,0.5
NINE.JK,1m,180.0,62.3,62.3,35.0,0.0056,0.016,0.84,1.0,True,False,0.5
GUNA.JK,1m,244.0,62.2,62.2,25.0,0.0167,0.067,3.56,1.0,False,False,0.5
DYAN.JK,1m,86.0,62.2,62.2,35.0,0.0,0.0,0.9,1.0,True,False,0.5
AHAP.JK,1m,76.0,62.1,62.1,35.0,-0.0256,0.0,0.88,1.0,True,False,0.5
HUMI.JK,1m,66.0,62.1,62.1,35.0,-0.0149,0.0,0.88,1.0,True,False,0.5
HOMI.JK,1m,200.0,62.0,62.0,25.0,0.0152,0.061,3.44,1.0,False,False,0.5
SMBR.JK,1m,302.0,61.9,61.9,25.0,0.0067,0.027,0.74,1.0,True,False,0.5
PTMP.JK,1m,98.0,61.7,61.7,35.0,0.0103,0.029,0.69,1.0,True,False,0.5
IMAS.JK,1m,1080.0,61.6,61.6,25.0,0.0141,0.056,0.56,1.0,True,False,0.5
MIDI.JK,1m,456.0,61.6,61.6,25.0,-0.0298,0.0,0.82,1.0,True,False,0.5
MBTO.JK,1m,114.0,61.6,61.6,35.0,0.0088,0.025,0.7,1.0,True,False,0.5
EMDE.JK,1m,89.0,61.6,61.6,35.0,-0.0111,0.0,0.82,1.0,True,False,0.5
SRTG.JK,1m,1780.0,61.5,61.5,25.0,-0.0111,0.0,0.81,1.0,True,False,0.5
MTMH.JK,1m,905.0,61.5,61.5,25.0,0.0112,0.045,10.2,1.0,False,False,0.5
BKSL.JK,1m,152.0,61.5,61.5,35.0,0.027,0.077,0.46,1.0,True,False,0.5
ASLC.JK,1m,64.0,61.5,61.5,35.0,0.0159,0.045,6.88,1.0,False,False,0.5
APIC.JK,1m,1110.0,61.4,61.4,25.0,0.0,0.0,0.79,1.0,True,False,0.5
TIRA.JK,1m,2040.0,61.3,61.3,25.0,-0.0145,0.0,0.77,1.0,True,False,0.5
SKBM.JK,1m,366.0,61.3,61.3,25.0,0.011,0.044,2.98,1.0,False,False,0.5
INDS.JK,1m,224.0,61.3,61.3,25.0,-0.0261,0.0,0.78,1.0,True,False,0.5
BMHS.JK,1m,191.0,61.3,61.3,35.0,-0.0104,0.0,0.78,1.0,True,False,0.5
JMAS.JK,1m,148.0,61.3,61.3,35.0,0.0137,0.039,5.89,1.0,False,False,0.5
BOAT.JK,1m,109.0,61.3,61.3,35.0,-0.0354,0.0,0.78,1.0,True,False,0.5
KDSI.JK,1m,474.0,61.1,61.1,25.0,0.0085,0.034,11.76,1.0,False,False,0.5
CFIN.JK,1m,322.0,61.1,61.1,25.0,0.0,0.0,0.75,1.0,True,False,0.5
LIVE.JK,1m,187.0,61.0,61.0,35.0,0.0108,0.031,7.6,1.0,False,False,0.5
BLES.JK,1m,159.0,61.0,61.0,35.0,-0.0062,0.0,0.74,1.0,True,False,0.5
MBSS.JK,1m,1355.0,60.9,60.9,25.0,-0.0217,0.0,0.73,1.0,True,False,0.5
SATU.JK,1m,234.0,60.9,60.9,25.0,-0.0085,0.0,0.73,1.0,True,False,0.5
ECII.JK,1m,180.0,60.9,60.9,35.0,-0.011,0.0,0.73,1.0,True,False,0.5
NAIK.JK,1m,157.0,60.9,60.9,35.0,-0.0126,0.0,0.73,1.0,True,False,0.5
CARS.JK,1m,105.0,60.9,60.9,35.0,-0.0094,0.0,0.73,1.0,True,False,0.5
JRPT.JK,1m,750.0,60.8,60.8,25.0,0.0067,0.027,4.14,1.0,False,False,0.5
NEST.JK,1m,290.0,60.8,60.8,25.0,0.0,0.0,0.72,1.0,True,False,0.5
GZCO.JK,1m,111.0,60.8,60.8,35.0,0.0091,0.026,6.61,1.0,False,False,0.5
FIRE.JK,1m,75.0,60.8,60.8,35.0,0.0,0.0,0.72,1.0,True,False,0.5
LOPI.JK,1m,57.0,60.8,60.8,35.0,-0.0339,0.0,0.71,1.0,True,False,0.5
INPC.JK,1m,157.0,60.7,60.7,35.0,-0.0309,0.0,0.7,1.0,True,False,0.5
LMAX.JK,1m,74.0,60.7,60.7,35.0,-0.0133,0.0,0.7,1.0,True,False,0.5
MDLN.JK,1m,57.0,60.7,60.7,35.0,0.0,0.0,0.7,1.0,True,False,0.5
FORE.JK,1m,575.0,60.6,60.6,25.0,-0.0086,0.0,0.69,1.0,True,False,0.5
UANG.JK,1m,340.0,60.6,60.6,25.0,0.1184,0.474,0.96,1.0,False,False,0.5
CHEK.JK,1m,197.0,60.6,60.6,35.0,0.0103,0.029,0.56,1.0,True,False,0.5
BBHI.JK,1m,1550.0,60.5,60.5,25.0,-0.0282,0.0,0.68,1.0,True,False,0.5
CLPI.JK,1m,1255.0,60.4,60.4,25.0,0.004,0.016,2.99,1.0,False,False,0.5
RMKE.JK,1m,660.0,60.4,60.4,25.0,-0.0075,0.0,0.67,1.0,True,False,0.5
ALDO.JK,1m,498.0,60.4,60.4,25.0,0.004,0.016,12.51,1.0,False,False,0.5
HATM.JK,1m,266.0,60.4,60.4,25.0,-0.0148,0.0,0.67,1.0,True,False,0.5
AGRS.JK,1m,66.0,60.4,60.4,35.0,-0.0294,0.0,0.67,1.0,True,False,0.5
CBPE.JK,1m,181.0,60.3,60.3,35.0,0.0112,0.032,0.51,1.0,True,False,0.5
ABMM.JK,1m,3000.0,60.2,60.2,25.0,0.0,0.0,0.64,1.0,True,False,0.5
DMND.JK,1m,590.0,60.2,60.2,25.0,0.0172,0.069,2.73,1.0,False,False,0.5
HMSP.JK,1m,545.0,60.2,60.2,25.0,-0.018,0.0,0.64,1.0,True,False,0.5
INAI.JK,1m,158.0,60.2,60.2,35.0,0.0,0.0,0.64,1.0,True,False,0.5
