ticker,gran,price,prob_ara_today,prob_ara_today_adj,ara_target_pct,day_roc,prox,coverage,rvol30,cr,breakout,mleft,regime_score
DATA.JK,1m,1920.0,36.0,36.0,25.0,-0.0129,0.0,0.0,1.56,1.0,False,0,0.5
TUGU.JK,1m,960.0,36.0,36.0,25.0,-0.0103,0.0,0.0,1.56,1.0,False,0,0.5
TOTL.JK,1m,740.0,36.0,36.0,25.0,0.0068,0.027,0.002,1.44,1.0,False,0,0.5
ADHI.JK,1m,280.0,35.9,35.9,25.0,-0.0278,0.0,0.002,1.55,1.0,False,0,0.5
BINO.JK,1m,116.0,35.9,35.9,35.0,0.045,0.129,0.0,1.04,1.0,False,0,0.5
BOGA.JK,1m,600.0,35.8,35.8,25.0,-0.0083,0.0,0.0,1.54,1.0,False,0,0.5
SAPX.JK,1m,288.0,35.8,35.8,25.0,-0.0336,0.0,0.0,1.54,1.0,False,0,0.5
TRUS.JK,1m,472.0,35.7,35.7,25.0,0.0043,0.017,0.0,1.46,1.0,False,0,0.5
TPIA.JK,1m,9125.0,35.6,35.6,20.0,0.0139,0.069,0.004,1.22,1.0,False,0,0.5
BJTM.JK,1m,515.0,35.6,35.6,25.0,-0.0096,0.0,0.0,1.52,1.0,False,0,0.5
UNIQ.JK,1m,398.0,35.6,35.6,25.0,0.0,0.0,0.0,1.52,1.0,False,0,0.5
BESS.JK,1m,990.0,35.4,35.4,25.0,-0.0149,0.0,0.0,1.49,1.0,False,0,0.5
MIDI.JK,1m,456.0,35.4,35.4,25.0,-0.0298,0.0,0.0,1.49,1.0,False,0,0.5
IDPR.JK,1m,218.0,35.4,35.4,25.0,-0.0091,0.0,0.0,1.49,1.0,False,0,0.5
