ticker,status,file,rows_before,rows_after,min_dt,max_dt,na_total,expected_per_day,last_day_coverage_pct,has_last_day
BBRM.JK,OK,emiten/cache_1m/BBRM.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13920,411,38.69,True
BBSI.JK,OK,emiten/cache_1m/BBSI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16986,411,0.97,True
BBSS.JK,OK,emiten/cache_1m/BBSS.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16026,411,21.17,True
BBTN.JK,OK,emiten/cache_1m/BBTN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6342,411,74.45,True
BBYB.JK,OK,emiten/cache_1m/BBYB.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6228,411,76.4,True
BCAP.JK,OK,emiten/cache_1m/BCAP.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,7866,411,69.34,True
BCIP.JK,OK,emiten/cache_1m/BCIP.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13692,411,26.03,True
BDKR.JK,OK,emiten/cache_1m/BDKR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12312,411,36.25,True
BDMN.JK,OK,emiten/cache_1m/BDMN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12114,411,28.47,True
BEEF.JK,OK,emiten/cache_1m/BEEF.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,8982,411,35.52,True
BEER.JK,OK,emiten/cache_1m/BEER.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13242,411,54.5,True
BELI.JK,OK,emiten/cache_1m/BELI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16140,411,8.52,True
BELL.JK,OK,emiten/cache_1m/BELL.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,9636,411,64.72,True
BESS.JK,OK,emiten/cache_1m/BESS.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15918,411,6.33,True
BEST.JK,OK,emiten/cache_1m/BEST.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13080,411,45.74,True
BFIN.JK,OK,emiten/cache_1m/BFIN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,8394,411,45.5,True
BGTG.JK,OK,emiten/cache_1m/BGTG.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,9552,411,62.53,True
BHAT.JK,OK,emiten/cache_1m/BHAT.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15894,411,22.38,True
BIKE.JK,OK,emiten/cache_1m/BIKE.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,10884,411,46.23,True
BINA.JK,OK,emiten/cache_1m/BINA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16968,411,1.95,True
BINO.JK,OK,emiten/cache_1m/BINO.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,14658,411,29.2,True
BIPI.JK,OK,emiten/cache_1m/BIPI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,8844,411,61.07,True
BIRD.JK,OK,emiten/cache_1m/BIRD.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,11442,411,49.39,True
BISI.JK,OK,emiten/cache_1m/BISI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15336,411,9.73,True
