ticker,status,wrote,rows_before,header_stripped,parsed_dt_invalid,cut_weekend,cut_session,rows_after_local,rows_yf,rows_final,range_min,range_max,dup_before,dup_after,removed_all_na_cols,file,error
BSDE.JK,OK,True,220,0,0,0,10,0,1141,1141,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BSDE.JK.csv,
BRRC.JK,OK,True,204,0,0,0,9,0,1039,1039,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BRRC.JK.csv,
BPFI.JK,OK,True,30,0,0,0,12,0,1041,1041,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BPFI.JK.csv,
BSML.JK,OK,True,79,0,0,0,3,0,352,352,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BSML.JK.csv,
BSBK.JK,OK,True,168,0,0,0,5,0,889,889,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BSBK.JK.csv,
BSWD.JK,OK,True,290,0,0,0,290,0,0,0,,,{},{},,emiten/cache_1m/BSWD.JK.csv,
BTON.JK,OK,True,4,0,0,0,2,0,22,22,2025-08-13 13:30:00+07:00,2025-08-19 14:45:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BTON.JK.csv,
BUAH.JK,OK,True,46,0,0,0,5,0,298,298,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BUAH.JK.csv,
BOLA.JK,OK,True,77,0,0,0,11,0,473,473,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BOLA.JK.csv,
BUKA.JK,OK,True,139,0,0,0,6,0,1106,1106,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BUKA.JK.csv,
BSIM.JK,OK,True,3,0,0,0,3,0,1110,1110,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},,emiten/cache_1m/BSIM.JK.csv,
BULL.JK,OK,True,224,0,0,0,16,0,1019,1019,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BULL.JK.csv,
BUDI.JK,OK,True,9,0,0,0,2,0,1021,1021,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BUDI.JK.csv,
BUVA.JK,OK,True,10,0,0,0,2,0,15,15,2025-08-13 09:55:00+07:00,2025-08-19 14:55:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BUVA.JK.csv,
BTPN.JK,OK,True,26,0,0,0,6,0,87,87,2025-08-13 09:00:00+07:00,2025-08-19 14:55:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BTPN.JK.csv,
BWPT.JK,OK,True,141,0,0,0,7,0,1132,1132,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BWPT.JK.csv,
BVIC.JK,OK,True,70,0,0,0,5,0,1137,1137,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BVIC.JK.csv,
BYAN.JK,OK,True,21,0,0,0,5,0,114,114,2025-08-13 09:02:00+07:00,2025-08-19 15:12:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BYAN.JK.csv,
BUKK.JK,OK,True,16,0,0,0,4,0,146,146,2025-08-13 09:02:00+07:00,2025-08-19 15:12:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BUKK.JK.csv,
BTPS.JK,OK,True,247,0,0,0,13,0,1073,1073,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BTPS.JK.csv,
BUMI.JK,OK,True,237,0,0,0,4,0,1140,1140,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BUMI.JK.csv,
BSSR.JK,OK,True,89,0,0,0,3,0,556,556,2025-08-13 09:00:00+07:00,2025-08-19 15:30:00+07:00,{},{},"Open,Adj Close",emiten/cache_1m/BSSR.JK.csv,
